"Variety_ID","Digital_Fingerprint"
"SL1","11212212211122221222222221121211231222"
"SL2","21222211211121321220111221121211211212"
"SL3","22212122213322222112112122111121212111"
"SL4","23212112211122112101111122111101121111"
"SL5","12232131112123221222212121112112322121"
"SL6","21212211122121121222222321133322122120"
"SL7","11212312131121322222232321134123222122"
"SL8","11212111112121123222221223134122122122"
"SL9","11212211321122222212221122122112121120"
"SL10","11211211311122332221211122111111111121"
"SL11","11212211312122222111211123111212121120"
"SL12","12121222221123222122221111122121222121"
"SL13","12121222321121222122211111122121222112"
"SL14","12121111122121221222221021122112122111"
"SL15","21112111312121121222221121122112122211"
"SL16","22211112211122212222222111211212211112"
"SL17","12211122311122212222222121201212211122"
"SL18","21112111312121221222221121222112122212"
"SL118","11212211321122222221222221202120121111"
"SL20","22211112211122212222222111201232211112"
"SL21","21112111312121221222221121222112122211"
"SL22","21112111112123221222221121122112122211"
"SL23","11212111231222222222222211211212222112"
"SL24","11232111122221122222222221231212222112"
"SL25","22212112211122212222222111111212111112"
"SL26","33213313211123332232232331334314132132"
"SL27","22212112211122212222222111111212111112"
"SL28","22212112211122212222222111111212111112"
"SL29","22213113211122212222222111111212111112"
"SL30","22212112211122212222222111111212111112"
"SL31","22212112311122212222222111111212111110"
"SL32","23313113213123212222222141111312332310"
"SL33","22212112211122212222222111111212111112"
"SL34","22212112211122212212212111111212111112"
"SL35","22112112211122212212222111111212110112"
"SL36","21212111212121212212222121111112122211"
"SL37","21212111312121221212221121122111112211"
"SL38","22212111312121221212222111111211112211"
"SL39","22212111212121221222221111111211112211"
"SL40","12313112312123233212222111111212111113"
"SL41","12222222321121222122211111122121222111"
"SL42","22212112211122212222222111111212311111"
"SL43","22212112211122212222222111111212211111"
"SL44","22212112211122212222222111211212211111"
"SL45","11212211111121222112222121111111221112"
"SL46","12212112211122212222222111111212211111"
"SL47","22112111211122212222222113211211010111"
"SL48","22112111211122212222222111210210211111"
"SL49","12313113213123212212222121112212331112"
"SL50","22212112211122212212222111111212213112"
"SL51","22212112211122212212222111111212213112"
"SL52","22212112211122212212222111111212211111"
"SL53","33233312211123212212322121311214232111"
"SL54","22212112211122212222222121211212210111"
"SL55","22112112311122212212212121211212211111"
"SL56","22212112211122212222222111111212211111"
"SL57","22212112211122212222222111111212210111"
"SL58","22112112311122212222222121211212111111"
"SL59","33313113331123332213322311133214132141"
"SL60","22212112211122212212222121211212211112"
"SL61","11332133311323333212221131111114232112"
"SL62","33233311113321213232322341114214222333"
"SL63","12211112211122212222222111111211211111"
"SL64","12211122211122212222222121111211211122"
"SL65","22112121012121221222221121122112122211"
"SL66","12211122311122112212222123111112211122"
"SL67","11211112211122212222222221111212211112"
"SL68","22311121012121221212021221122112122201"
"SL69","31332111131121332213321241134212132141"
"SL70","11211122311122212212222121111112211132"
"SL71","01112110211121211212222123111112022101"
"SL72","01112120012122221212221123121112012211"
"SL73","22212112211122212222222111211211211112"
"SL74","22212112211122212222222111211211211112"
"SL75","22212112211122212222222111111112211112"
"SL76","21332211232121223223213113111113022312"
"SL77","13212111212123233222221121322212123211"
"SL78","21212111112121221222221121122112122211"
"SL79","22211112211122212222222111211212211112"
"SL80","23213312231223213222222311222211311112"
"SL81","13233112311123212212322111231222321112"
"SL82","11212211121211222122222221121111122112"
"SL83","11212111121121122212222121111212122112"
"SL84","21112111212121221222221121121211022211"
"SL85","21312312233122213233222331122214122311"
"SL86","01222112012123212212221143122112022211"
"SL87","23222132111122312222222123132212122122"
"SL88","21211212121122312222221221122211212122"
"SL89","23213332121122233212221321111214221112"
"SL90","21221212121122321222222221111212122112"
"SL91","21212311121121221222211223121112121010"
"SL92","02221222221223222122211113121021222112"
"SL93","21212211121122222222211123121022122110"
"SL94","22122111212221221122221221121221122212"
"SL95","02122111012221221122221221121221122212"
"SL97","21212121112111221222221121122111221211"
"SL98","21212121112121221222221121122111222221"
"SL100","12222111112121221122221221122011022212"
"SL101","12222111112121221122221221122111122221"
"SL102","12211110211122212222222211111211213122"
"SL103","12222111112121221122221221122111122221"
"SL105","21212111112111221222221121122111112221"
"SL106","22212111112111221222221121122111112221"
"SL107","22211112211122212222222111112211211122"
"SL108","22211112211122212222222111112211211122"
"SL109","11212111021111122112211211122111121112"
"SL110","22211112211112212222222111111211211112"
"SL111","22111112212112212222221121122211231212"
"SL112","22211122211122212222222111111211211112"
"SL113","21112121112121221222221121122111122211"
"SL114","12112111112121221222221121110111122211"
"SL115","22211122211122212222222111121211211110"
"SL116","11112121121121122212222121122112121120"
"SL117","21112111112121221222221121121111122211"
