Plant_height,Days_to_heading,Yield_per_plant,Thousand-grain_weight,Number_of_tillers,Effective_tillers,Panicle_length,Total_spikelets,Seed_setting_rate,Number_of_spikelets_per_panicle,Grain_length,Grain_width
145.30 ,85.50 ,14.70 ,27.40 ,7.30 ,7.00 ,27.50 ,1108.30 ,0.47 ,151.10 ,9.15 ,2.78 
93.10 ,95.10 ,15.40 ,32.90 ,10.30 ,9.20 ,23.00 ,1268.70 ,0.36 ,122.80 ,7.83 ,2.22 
146.10 ,73.50 ,9.70 ,26.50 ,6.70 ,6.20 ,26.10 ,556.30 ,0.64 ,83.40 ,8.58 ,2.72 
153.30 ,72.40 ,12.80 ,25.60 ,6.30 ,7.40 ,25.40 ,659.00 ,0.76 ,104.10 ,8.67 ,2.69 
115.10 ,74.50 ,7.10 ,24.30 ,10.70 ,6.60 ,20.20 ,624.70 ,0.44 ,58.60 ,8.86 ,3.16 
149.50 ,75.40 ,19.50 ,27.40 ,6.30 ,7.20 ,27.90 ,937.30 ,0.78 ,148.00 ,8.41 ,2.77 
142.80 ,75.50 ,10.60 ,25.80 ,6.70 ,5.40 ,27.40 ,689.30 ,0.57 ,103.40 ,8.30 ,2.72 
146.40 ,72.30 ,17.70 ,26.20 ,9.70 ,5.80 ,27.20 ,1103.00 ,0.61 ,114.10 ,8.16 ,2.68 
119.10 ,77.50 ,12.00 ,25.60 ,10.70 ,6.60 ,25.60 ,1017.70 ,0.47 ,95.40 ,8.42 ,3.38 
112.50 ,73.40 ,14.00 ,30.50 ,10.00 ,7.20 ,24.20 ,909.00 ,0.53 ,90.90 ,8.40 ,3.48 
98.70 ,79.50 ,11.00 ,NA,11.00 ,10.00 ,21.20 ,635.70 ,0.32 ,57.80 ,7.53 ,2.37 
95.50 ,95.10 ,9.60 ,22.70 ,8.70 ,9.40 ,24.50 ,1211.00 ,0.37 ,139.70 ,7.74 ,2.27 
119.70 ,74.40 ,9.30 ,29.90 ,7.30 ,5.20 ,24.30 ,630.70 ,0.52 ,86.00 ,8.57 ,3.57 
134.90 ,76.40 ,9.70 ,23.70 ,8.00 ,9.60 ,28.30 ,966.30 ,0.41 ,120.80 ,8.02 ,3.10 
114.40 ,74.50 ,10.30 ,28.20 ,6.30 ,7.00 ,26.10 ,496.70 ,0.74 ,78.40 ,8.80 ,3.16 
140.70 ,71.50 ,25.40 ,27.20 ,9.30 ,7.40 ,26.30 ,1172.70 ,0.79 ,125.60 ,8.39 ,2.73 
